전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,경상북도,-,-,-,-,-,-,-,-,-,-,-,70840,58430,63729,57719,61250,61419,71529,72574,62765,73655,72816,66905,67587,61811,59398,73160,65314,61948,61647,52556,54057,54952,51401,51928,60081,62429,53293,48562,49288,47895,49300,44922,45035,51852,46900,41444,41714
,경상남도,-,-,-,-,-,-,-,-,-,-,-,14182,14746,15522,15649,14750,14816,15424,14707,14144,14981,13585,13357,12768,11350,13068,13238,8674,9150,8853,7977,8373,8300,11259,9590,11978,10639,10734,11343,10599,9521,8821,8965,8941,9374,8922,8313,7704
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,294,338,525,408,391,398,466,458,483,654,637,637,551,440,543,631,703,796,801,701,794,822,813,813,838,679,658,618,664,631,643,773,847,1061,1317,1394,1631
인천광역시,전국,-,-,-,-,-,-,-,-,-,-,-,296851,323344,370917,379871,367248,351641,389630,429474,406162,451178,423289,450319,466162,469610,462882,470473,485473,426896,492766,518153,525725,540582,526518,464170,491203,513839,553898,556166,476071,458439,470758,440872,439578,442973,463685,435869,411135
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,41489,44852,56416,56649,51693,47891,46454,57870,50901,43247,44988,45332,44316,44734,41601,43084,40885,38404,48592,45970,46213,45171,43145,39059,39972,42334,41585,40479,38858,35670,33008,32216,33017,34380,33570,32486,32528
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,3582,3570,3400,3385,3475,3821,3970,3422,3426,3400,3124,3348,3032,2872,3117,3162,2963,2895,3256,2895,2920,3139,2922,2745,2767,2814,2949,2842,2657,2738,3213,2691,2677,3088,2930,2616,2620
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,1455,1607,1722,1657,1689,1691,1660,1739,1424,1543,1676,1846,1677,1669,1954,1794,1724,1665,1942,1806,1625,1691,1670,1601,1615,1645,1843,1680,1672,1628,1585,1702,1795,1734,1691,1551,1590
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,183157,200084,231796,243975,232745,216240,251771,281064,270158,318771,289666,310754,317595,327840,312087,317278,334572,284347,320946,358102,356963,359818,348781,306772,334124,347928,387006,389945,318898,303966,325441,297979,297446,295375,314622,290783,266394
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1263,1344,1907,1715,1988,2383,2358,2086,2031,2046,2169,2368,2133,2388,2236,2202,2118,2213,2028,1932,2143,2350,2316,2147,2492,1979,1884,1939,2007,1894,1762,1518
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2083,2334,2619,2913,3445,3259,3370,3299,3296,3310,3525,3515,3221,3216,3196,2792,3088,2958,2742,2905,2812,2589,2820,2873,2673,2736,2756,2616,2552
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1025,831,1054,1015,1012,1015,1033,874,928,984,1062,1063,989,949,1081,1116,1289,1083,1359,1080,962
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597,592,990,1496,1398,1265
,경기도,-,-,-,-,-,-,-,-,-,-,-,31488,40075,43141,41246,43284,46434,50129,51180,46940,47519,46791,49119,59301,56323,61931,60340,60913,54556,70792,67498,74456,90856,84889,71763,72226,77178,75185,75557,70474,71031,65332,65127,63331,65903,66353,66764,67838
,강원도,-,-,-,-,-,-,-,-,-,-,-,4390,4228,4121,4004,4383,4467,4376,3769,4011,4284,4336,4795,4745,4444,5129,5474,5737,6572,6661,5512,5898,5834,5950,5565,5186,4908,5581,6033,5866,5808,5695,5339,5573,5549,5904,5598,5396
,충청북도,-,-,-,-,-,-,-,-,-,-,-,2964,2656,2836,2709,3114,3138,3299,3079,3278,3922,3997,4475,4685,3489,4055,4514,4411,4110,4420,4074,4137,3748,3914,3815,3637,4593,4363,4588,4157,4347,3952,4167,4172,4210,4624,4303,4051
,충청남도,-,-,-,-,-,-,-,-,-,-,-,8792,8463,9360,8719,9010,9498,9267,9142,7020,7241,6909,7627,8215,6740,8700,9257,9911,9281,9150,8386,8200,8132,9421,11370,9995,9884,11282,11146,9859,9985,9332,8591,8752,8964,9101,8728,8730
,전라북도,-,-,-,-,-,-,-,-,-,-,-,4904,3996,3832,3496,3606,3598,3571,3389,3206,3998,3936,4371,4257,3918,4902,4565,5143,5002,5437,4658,5982,4304,6507,4253,3991,4371,4717,4724,4490,4379,4347,3987,3577,3745,3581,3756,3502
,전라남도,-,-,-,-,-,-,-,-,-,-,-,6031,5566,5867,5579,6321,5155,5384,4823,4758,5106,4705,4880,4830,4243,5356,6360,5117,5954,6516,5034,5050,4137,4930,4113,4225,4179,4616,4409,4488,4257,4023,3725,3751,3848,3876,3523,3205
,경상북도,-,-,-,-,-,-,-,-,-,-,-,4088,3481,3308,3365,3396,3514,3583,3381,3010,3201,3071,3384,3421,3392,3542,3357,3422,3666,3804,3545,3420,3196,3572,3381,3375,3579,3819,3764,3902,3833,4217,4200,3944,3950,3982,3589,3352
,경상남도,-,-,-,-,-,-,-,-,-,-,-,3995,4297,4579,4515,4034,4344,4235,4079,3587,3808,4164,4296,3743,3911,4129,4789,2932,2993,3161,2888,3474,3005,3199,2883,3126,3216,3649,3621,3677,3515,3501,3242,3330,3470,3670,2941,2919
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,516,469,539,572,498,587,587,630,645,816,924,821,814,745,963,1031,1054,1177,1122,1019,952,1202,1176,1156,1016,1125,1149,1094,1125,1252,1232,1436,1720,1941,2276,2375,2713
광주광역시,전국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238786,249630,313422,279132,302333,320043,324793,291976,302179,311209,298589,321553,293016,321192,301512,300588,289765,314192,287882,297762,304209,290248,268310,290771,265043,259282,230437,229288,246043,233875,221074,216256
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,19251,18360,25298,23900,22098,18882,17489,17682,16277,15758,15711,15642,13979,17481,17894,17164,17593,17513,16061,15937,16315,16394,14708,14035,12642,11917,11811,10964,11518,10860,10432,10561
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2389,2457,2265,2133,2243,1619,1768,1497,1353,1351,1453,1218,1189,1403,1319,1326,1459,1458,1349,1229,1178,1168,1225,1308,1283,1206,1447,1157,1667,1418,1264,1135
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,496,387,473,547,471,442,384,413,480,482,432,449,501,456,528,492,527,609,616,617,509,644,553,564,536,572,668,676,746,547,577,647
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1456,1603,2160,2200,2639,2382,2280,2377,2456,2150,2325,2490,2167,2388,2736,2744,2973,3021,2895,2809,2550,2896,2601,2304,2255,2155,2157,2109,2010,2167,2080,2000
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,154955,158411,213502,188390,209699,237637,244033,209136,225147,217234,211203,235814,202826,216973,198924,200853,194104,206460,191850,202882,207532,195536,182473,206147,183496,179871,152570,155265,164321,150777,145582,142174
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1277,1286,1395,1308,1582,1455,1539,1404,1435,1374,1621,1640,1650,1856,1995,1946,1817,1670,1698,1575,1494,1633,1705,1575,1610,1665,1481,1537,1383
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,365,324,378,471,400,497,524,406,426,503,471,495,424,437,428,642,448,518,538,398,322
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,239,593,926,706,777
,경기도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,5899,6717,8278,8643,9121,8708,8807,9383,8474,9399,9793,9989,9400,11506,12520,12713,14999,16192,15857,15505,15954,15017,13296,12813,13061,11716,11920,10895,11972,10788,10004,9812
,강원도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1126,935,978,1053,1025,976,957,961,915,873,897,849,895,952,964,929,864,999,955,945,939,945,937,885,1077,891,872,899,954,1029,827,859
,충청북도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,403,404,572,578,707,702,706,633,662,682,667,679,743,711,742,766,812,867,859,758,865,869,869,802,831,931,849,782,945,970,848,910
,충청남도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1557,1896,1890,753,763,791,780,837,888,976,1297,1275,1213,1135,1252,1183,1378,1690,2388,1899,2026,1911,1983,1895,1900,2083,1858,1843,2215,2053,1966,1986
,전라북도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,4418,4448,4675,4797,5164,4599,4589,4795,4618,5428,5518,5657,5968,6694,6382,7892,5995,8637,6564,6036,6363,6654,6011,5549,5742,5785,5972,5549,5798,5632,5618,5288
,전라남도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,43833,51130,49866,41588,43667,38521,38516,39538,36454,52238,44787,43187,49963,56532,53374,49540,43660,50930,42976,43828,44579,42694,38371,39406,37069,36775,34736,33736,37356,40882,35818,35140
,경상북도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,702,719,799,796,775,617,799,733,678,673,722,636,653,797,670,776,737,801,831,813,866,859,844,828,850,881,856,819,981,1008,835,829
,경상남도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1785,1627,2089,1882,1884,2059,1659,1708,1696,1666,1680,1116,992,1263,1325,1254,1287,1626,1458,1477,1599,1603,1599,1543,1520,1605,1457,1475,1767,1643,1453,1242
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,516,536,577,595,791,713,718,701,626,760,700,752,829,902,771,906,1024,870,871,784,761,889,770,774,711,761,769,822,1017,1156,1129,1191
대전광역시,전국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230055,263293,273837,271532,297841,285155,297054,272745,285604,255485,313174,303984,298145,294389,298910,277412,284625,292499,284128,269142,258182,263477,260900,239136,230547,248397,241390,229883,227624
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,16817,16179,15369,14576,14260,13828,14575,15097,15538,14539,17672,18698,17689,18307,17436,16090,16639,17812,17868,17325,17439,15793,14890,14570,14156,14172,13559,13726,14118
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1823,1945,1909,2030,1877,1774,2119,2118,2146,2096,2453,2227,2158,2192,2161,1925,2042,1969,2023,2005,2064,1976,2074,2013,1986,2190,2054,1807,1762
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1301,1229,1295,1437,1441,1616,2188,1930,1996,2007,2219,1944,1796,1956,1910,1914,1940,1826,1902,1783,1859,1757,1848,1734,1762,1818,1667,1710,1524
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1850,2456,2114,2240,2325,2472,2577,2837,3038,2931,3200,3273,3362,3383,3372,2766,2946,2916,3094,2983,2730,2762,2782,2812,2662,2621,2516,2463,2458
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,836,935,963,885,1000,1148,1307,1328,1400,1367,1460,1461,1450,1413,1372,1472,1477,1505,1481,1470,1419,1512,1261,1130,1247,1248,1321,1089,1026
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,162657,194537,205625,203082,232456,218557,216372,187937,195779,169009,218594,211847,206129,201578,199701,180188,189569,196741,187040,174748,166836,175962,175460,152381,148793,156961,139609,138876,131656
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,880,716,726,765,750,664,795,736,715,724,830,911,680,745,728,952,822,909,939,662,621
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8907,4012,14093,25788,17575,23707
,경기도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,9028,8826,9205,10080,10015,10204,12720,14065,14867,14293,17471,18360,18375,19518,19641,18435,19258,19748,19408,18323,18446,18022,16492,15967,15775,15189,15354,15141,14807
,강원도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1312,1268,1453,1495,1365,1564,1711,2058,2455,2542,3049,2700,2791,2981,2831,2568,2454,2470,2735,2765,2863,2603,2877,2411,2737,2400,2423,2213,2302
,충청북도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,7311,7952,7870,8501,7587,7031,8558,8861,9399,9756,9891,9361,8941,9215,9703,9464,8860,9567,9862,9720,8913,8847,8847,8116,8308,8256,8265,7748,7653
,충청남도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,17946,18041,17721,17668,15906,17157,23668,24745,26623,23839,22559,21068,20512,21349,25457,29629,25723,23988,24119,24606,21987,21192,21076,16747,16924,16552,16030,15824,15321
,전라북도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,3420,3788,3713,3459,3606,3471,4220,4306,4312,4780,5438,4776,6687,4572,6066,4818,4768,4677,5258,4642,4758,4300,4478,3952,3761,4116,3766,3552,3627
,전라남도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1183,1294,1272,1259,1281,1360,1549,1644,1838,2050,2310,2163,2160,1752,2124,1876,1952,1894,1930,1866,1884,1815,1929,1714,1755,1799,1798,1672,1603
,경상북도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1940,1986,2201,2297,2137,2274,2601,2600,2546,2758,3402,2869,2878,2929,3522,2782,3198,3440,3168,2965,3181,3190,3144,2841,2773,2851,2914,2767,2600
,경상남도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2439,2582,2868,2262,2301,2442,2552,2826,2382,2404,2255,2008,1950,2079,2337,2224,2572,2712,2884,2607,2635,2549,2532,2349,2389,2483,2420,2174,2004
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,192,275,259,261,284,257,337,393,405,398,475,464,517,501,482,525,512,510,526,423,488,452,482,540,685,739,967,884,835
울산광역시,전국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,182149,169728,181385,163474,164599,173788,189383,182735,170073,176800,181367,177756,164984,164671,163091,157427,157185,173229,170473,155812,147116
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5394,5666,6297,6129,6430,6568,6601,6364,6174,6722,6721,6262,6512,6484,6278,6799,6347,6458,6954,6750,6708
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10572,11556,11621,9863,10248,10790,11364,10873,10781,11135,10865,9784,11094,10242,9762,9511,10589,11090,11255,10246,10467
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3156,3617,3387,3092,2767,3171,3157,3121,3129,3175,3018,2853,3003,3150,2874,3054,3282,3275,3189,3216,3335
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1105,1008,1172,1094,996,1177,1143,1116,1102,1074,1023,1024,1000,989,968,1045,1054,1085,1249,1135,1033
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,433,527,568,463,374,434,371,349,388,415,352,388,432,405,330,377,379,406,482,416,392
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,937,968,1028,952,801,934,990,873,846,880,812,729,817,929,855,863,779,839,890,984,907
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,129141,116504,127876,115859,117311,123801,135547,131496,118166,122943,127956,127569,112338,113357,114569,109156,107253,122133,116131,103342,94789
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,87,188,306,273,352
,경기도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4976,4784,5350,5194,5123,5498,6531,6006,6250,6212,5501,4990,5235,5539,5598,5667,5863,5321,5847,5955,6435
,강원도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1415,1857,1526,1254,1197,1161,1239,1128,998,998,1118,963,1055,1094,967,947,897,989,1128,1040,947
,충청북도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1032,1251,1153,971,907,974,929,885,942,1128,1116,970,893,1061,948,859,891,891,1162,990,977
,충청남도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5263,1893,1955,1364,1319,1206,1501,2089,1638,1631,1444,1546,1527,1591,1446,1353,1364,1452,1555,1493,1648
,전라북도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1226,1151,1085,846,1012,694,1318,750,629,740,758,880,1709,1302,1074,933,1198,1134,935,839,740
,전라남도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1909,1584,1508,1376,1208,1051,1261,1161,1117,1017,1069,1301,1058,989,897,919,972,1064,1222,1099,1175
,경상북도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7867,8601,8245,7254,7290,7469,7668,7480,7997,8763,8360,7886,8466,8080,8018,7794,7808,7801,8715,8264,7875
,경상남도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,7389,8255,8137,7396,7202,8419,9378,8615,9433,9537,10899,10256,9498,9104,8178,7695,8022,8611,8772,9026,8521
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,334,506,477,367,414,441,385,429,483,430,355,355,347,355,329,394,400,492,681,744,815
세종특별자치시,전국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15291,15109,23070,30950,35236,47383
,서울특별시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1015,1095,1497,2228,2812,3195
,부산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,184,235,364,343,443
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,109,192,219,263,340
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,312,322,451,537,632
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,111,195,236,237,326
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2367,2350,2744,3684,4606,5871
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,78,90,116,105,119
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4704,4105,10455,13990,14546,23245
,경기도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1488,1602,1840,2585,3436,3755
,강원도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,238,219,316,410,482
,충청북도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1970,1875,1868,2308,2626,2815
,충청남도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2074,2205,2344,2905,3351,3881
,전라북도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,245,310,411,633,707
,전라남도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163,129,186,251,316,369
,경상북도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,218,269,403,440,452
,경상남도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196,212,241,344,411,488
,제주특별자치도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,41,63,139,164,263
경기도,전국,353535,412098,382945,454426,484597,825258,645942,753564,817561,786271,948316,703279,793942,995853,940978,977801,1041498,1197193,1371971,1295977,1359422,1295128,1349401,1417105,1485920,1579952,1652688,1736957,1584923,1905336,1858301,2007156,2133640,2082492,1890345,2028470,2321008,2193857,2094988,2081528,2026383,1986623,1862209,1821303,1834379,1898312,1824976,1772162
,서울특별시,95388,95423,90470,107177,107518,207641,144524,154021,164771,168188,231651,187880,196664,230913,227920,226354,233258,307770,410274,345173,282914,256270,253605,256049,258897,262893,290660,298306,276685,340653,312616,319738,321390,325065,289817,311892,357818,336648,323515,317952,285963,272407,254175,246464,249701,239557,234357,234448
,부산광역시,4983,5309,4734,6146,9463,12408,11179,9599,12344,11097,12926,9578,9729,11237,10890,10530,12049,13543,13564,11682,11867,11281,11067,10511,10289,11534,12943,12374,12647,13143,12073,12721,13282,13703,12917,13514,15116,14842,14692,14672,15121,17591,14545,14261,15819,14973,13485,12853
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,4814,4976,6082,5894,6021,6666,7227,7227,7084,7053,6890,6944,7506,7338,8372,8812,8352,8286,8909,8595,8454,8410,9425,8881,9376,9777,10193,10024,10225,10763,11163,11026,11009,10961,10043,9627,8872
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,38045,35754,44663,47049,47262,47536,54441,62416,62370,71539,66622,66023,62487,60817,56281,57879,66514,63176,64569,67516,63017,66332,61265,61799,71697,78075,85221,76780,69462,67913,78724,76730,74479,71554,71513,65864,61797
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,4102,4658,5915,6300,8237,7166,7554,7586,7903,8544,9101,11122,9308,10306,8949,8831,9065,9833,10059,10375,11779,11700,10979,11351,11678,11394,11286,9851,10751,9323,8232,7739
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,9158,10766,11591,11743,13563,13407,14881,17226,15660,16927,16542,16514,16244,16423,17061,15377,16201,17191,17368,16437,15767,16368,16547,16907,15832,15187,15266,14586,13935
